Commit标题,作者和时间,Commit链接
CMake: improves wordexp/glob detection and messaging,李通洲 committed 30 days ago,https://github.com/fastfetch-cli/fastfetch/commit/7638e0e4a1b16f3139755c7cf92559bc40e9c6b4
CommandLine: adds dynamic output refresh support with interval option,李通洲 committed 30 days ago,https://github.com/fastfetch-cli/fastfetch/commit/302b8a7b1b075c48f219b1fa1ea6cedb7a1d4bc0
Display: adds missing `#include`,李通洲 committed 30 days ago,https://github.com/fastfetch-cli/fastfetch/commit/dbb9d8a660733a2d49436412eece399217133fc8
PublicIP / Weather: cleans up states after detection,李通洲 committed 30 days ago,https://github.com/fastfetch-cli/fastfetch/commit/c51a164042fb54ffe9e0446a76639ecaa0a3db30
Chore: adds `ffIsValidNativeFD` and uses it,李通洲 committed 3 days ago,https://github.com/fastfetch-cli/fastfetch/commit/e99ecacb52727ae22bc018689345a719a2062b9b
Chore: uses `_WIN32` always,李通洲 committed 3 days ago,https://github.com/fastfetch-cli/fastfetch/commit/3e22dd4b0e08c58f07355e7bdafe569f6e82f383
Disk: moves disk hiding by folder and FS type to detection code,李通洲 committed 29 days ago,https://github.com/fastfetch-cli/fastfetch/commit/645bf5c839ee954f368fe3176096c7f86618dabf
Command: adds `parallel` and `useStdErr` options,李通洲 committed 25 days ago,https://github.com/fastfetch-cli/fastfetch/commit/ea92ad37859411541eedfc4b7b78e25b877e376e
Processing: refactors process execution to separate spawning and reading,李通洲 committed 25 days ago,https://github.com/fastfetch-cli/fastfetch/commit/7aaad5e03e9fa4e3b62fd63fec0f4e67bcc6096d
Shell: makes fish shell version detection more robust (v2),李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/662f5127fac1de1bd7c4267243ce3cb44538f12b
Shell: makes fish shell version detection more robust,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/fb9117553b164356fe268cc1a221016f43362cc5
Media (Linux): handles invalid percent-encoding in cover metadata,李通洲 committed 24 days ago,https://github.com/fastfetch-cli/fastfetch/commit/9f24e4363f451b5fb10d13a095f651747e513b91
